,PANDAID,MODIFTIME_EXTENDED,PRE-FAILED/FAILED,COMPUTINGSITE,MODIFICATIONHOST,ATTEMPTNR,FINAL_STATUS,START_TS,END_TS,DURATION
674,4729445925,2020-05-21 15:21:24.803002,holding,ANALY_DCSC,aipanda055.cern.ch,1,failed,2020-05-21 15:21:24.803002,2020-05-21 15:26:15.135066,0.08064779555555555
683,4729445927,2020-05-21 15:26:15.434975,failed,ANALY_DCSC,aipanda055.cern.ch,1,failed,2020-05-21 15:26:15.434975,2020-05-21 15:26:15.434975,0.0
684,4729445927,2020-05-21 15:21:24.850606,holding,ANALY_DCSC,aipanda055.cern.ch,1,failed,2020-05-21 15:21:24.850606,2020-05-21 15:26:15.434975,0.08071788027777778
694,4729445928,2020-05-25 12:26:04.386661,failed,ANALY_DCSC,aipanda057.cern.ch,1,failed,2020-05-25 12:26:04.386661,2020-05-25 12:26:04.386661,0.0
691,4729445928,2020-05-21 15:30:52.776174,running,ANALY_DCSC,aipanda055.cern.ch,1,failed,2020-05-21 15:30:52.776174,2020-05-25 12:26:04.386661,92.91989180194446
701,4729445930,2020-05-21 15:26:15.419733,failed,ANALY_DCSC,aipanda055.cern.ch,1,failed,2020-05-21 15:26:15.419733,2020-05-21 15:26:15.419733,0.0
702,4729445930,2020-05-21 15:21:24.927927,holding,ANALY_DCSC,aipanda055.cern.ch,1,failed,2020-05-21 15:21:24.927927,2020-05-21 15:26:15.419733,0.08069216833333333
712,4729445935,2020-05-22 22:25:24.993968,failed,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-22 22:25:24.993968,2020-05-22 22:25:24.993968,0.0
713,4729445935,2020-05-22 22:20:56.972627,holding,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-22 22:20:56.972627,2020-05-22 22:25:24.993968,0.0744503725
722,4729445937,2020-05-25 12:26:04.557913,failed,ANALY_DCSC,aipanda057.cern.ch,1,failed,2020-05-25 12:26:04.557913,2020-05-25 12:26:04.577452,5.4275e-06
723,4729445937,2020-05-25 12:26:04.577452,failed,ANALY_DCSC,aipanda189.cern.ch,1,failed,2020-05-25 12:26:04.577452,2020-05-25 12:26:04.577452,0.0
719,4729445937,2020-05-21 15:30:52.818664,running,ANALY_DCSC,aipanda055.cern.ch,1,failed,2020-05-21 15:30:52.818664,2020-05-25 12:26:04.557913,92.91992756916667
733,4729445938,2020-05-22 05:07:23.018631,failed,ANALY_DCSC,aipanda053.cern.ch,1,failed,2020-05-22 05:07:23.018631,2020-05-22 05:07:23.018631,0.0
731,4729445938,2020-05-22 05:01:33.611866,holding,ANALY_DCSC,aipanda053.cern.ch,1,failed,2020-05-22 05:01:33.611866,2020-05-22 05:07:23.018631,0.09705743472222222
741,4729445940,2020-05-25 19:17:19.149972,failed,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-25 19:17:19.149972,2020-05-25 19:17:19.149972,0.0
743,4729445940,2020-05-25 19:14:09.328767,holding,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-25 19:14:09.328767,2020-05-25 19:17:19.149972,0.05272811250000001
751,4729445942,2020-05-25 19:17:21.125994,failed,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-25 19:17:21.125994,2020-05-25 19:17:21.125994,0.0
753,4729445942,2020-05-25 19:14:09.349309,holding,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-25 19:14:09.349309,2020-05-25 19:17:21.125994,0.05327130138888889
762,4729445943,2020-05-22 03:51:35.767520,failed,ANALY_DCSC,aipanda056.cern.ch,1,failed,2020-05-22 03:51:35.767520,2020-05-22 03:51:35.767520,0.0
763,4729445943,2020-05-22 03:44:50.639807,holding,ANALY_DCSC,aipanda056.cern.ch,1,failed,2020-05-22 03:44:50.639807,2020-05-22 03:51:35.767520,0.11253547583333333
771,4729445945,2020-05-25 19:17:21.300442,failed,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-25 19:17:21.300442,2020-05-25 19:17:21.300442,0.0
